Einkaufsbeleg;Pos;Materialnr;Kurztext;Werk;Menge;ME;Bestelldatum;Warengruppe;Nettopreis;Währ;Lieferant;Buchungskreis
4500012345;10;000000000000200456;Diesel Fuel EN590;1000;5.000,000;LTR;15.03.2024;FUEL-DSL;4,25;EUR;VEND-001;1000
4500012345;20;000000000000200457;Diesel Fuel EN590;1000;3.200,000;L;15.03.2024;FUEL-DSL;4,30;EUR;VEND-001;1000
4500012346;10;000000000000200460;Petrol Unleaded 95;2100;1.800,000;LTR;18.03.2024;FUEL-GAS;1,45;EUR;VEND-002;1000
4500012346;20;000000000000200461;Super Benzin E10;2100;2.500,000;Liter;18.03.2024;FUEL-02;1,52;EUR;VEND-002;1000
4500012347;10;000000000000200470;LPG Autogas;1000;4.000,000;L;20.03.2024;FUEL-LPG;0,85;EUR;VEND-003;1000
4500012348;10;000000000000200480;Natural Gas Supply;3000;15.000,000;KWH;22.03.2024;FUEL-CNG;0,065;EUR;VEND-004;1000
4500012349;10;000000000000200456;Diesel Fuel EN590;1000;8.500,000;LTR;25.03.2024;FUEL-DSL;4,18;EUR;VEND-001;1000
4500012350;10;000000000000200457;Diesel EN590 10ppm;2100;2.750,000;L;28.03.2024;FUEL-01;4,35;EUR;VEND-005;1000
4500012351;10;000000000000200490;Heavy Fuel Oil 380cst;4000;12.000,000;LTR;01.04.2024;FUEL-HFO;3,10;EUR;VEND-006;1000
4500012352;10;000000000000200460;Petrol Regular;1000;1.200,000;L;05.04.2024;FUEL-GAS;1,48;EUR;VEND-002;1000
4500012353;10;000000000000200456;Diesel Kraftstoff;3000;6.800,000;l;08.04.2024;FUEL-DSL;4,22;EUR;VEND-001;1000
4500012354;10;000000000000200470;Flüssiggas LPG;1000;2.300,000;LTR;10.04.2024;FUEL-03;0,88;EUR;VEND-003;1000
4500012355;10;000000000000200480;Erdgas CNG;3000;22.500,000;KWH;12.04.2024;FUEL-04;0,062;EUR;VEND-004;1000
4500012356;10;000000000000200456;Diesel Fuel EN590;2100;4.100,000;LTR;15.04.2024;FUEL-DSL;4,28;EUR;VEND-001;1000
4500012357;10;000000000000200461;Benzin Super E5;1000;950,000;L;18.04.2024;FUEL-GAS;1,55;EUR;VEND-002;1000
4500012358;10;000000000000200456;Diesel Fuel EN590;4000;7.200,000;LTR;20.04.2024;FUEL-DSL;4,20;EUR;VEND-001;1000
4500012359;10;000000000000200480;Natural Gas;3000;18.000,000;KWH;22.04.2024;FUEL-CNG;0,063;EUR;VEND-004;1000
4500012360;10;000000000000200456;Diesel B7 Bioblend;1000;55.000,000;L;25.04.2024;FUEL-DSL;4,15;EUR;VEND-001;1000
4500012361;10;000000000000200490;Fuel Oil Heavy;4000;9.800,000;LTR;28.04.2024;FUEL-05;3,15;EUR;VEND-006;1000
4500012362;10;000000000000200460;Unleaded Petrol 95;2100;1.650,000;L;01.05.2024;FUEL-PET;1,50;EUR;VEND-002;1000
4500012363;10;000000000000200456;Diesel Fuel EN590;1000;4.500,000;LTR;05.05.2024;FUEL-DSL;4,32;EUR;VEND-001;1000
4500012364;10;000000000000200470;LPG Propane Mix;2100;3.100,000;L;08.05.2024;FUEL-LPG;0,90;EUR;VEND-003;1000
4500012365;10;000000000000200456;Diesel;3000;6.000,000;LTR;10.05.2024;FUEL-01;4,25;EUR;VEND-001;1000
4500012366;10;000000000000200480;Gas Natural;1000;12.800,000;KWH;12.05.2024;FUEL-NG;0,064;EUR;VEND-004;1000
4500012367;10;000000000000200456;Dieselkraftstoff;2100;;LTR;15.05.2024;FUEL-DSL;4,30;EUR;VEND-001;1000
