Account Number,Meter ID,Service Address,Start Date,End Date,Usage (kWh),Demand (kW),Read Type,Rate Schedule,Cost ($),Meter Multiplier
ACC-2024-001,MTR-55001,"123 Industrial Blvd, Houston TX 77001",01/12/2024,02/10/2024,15400,45.2,Actual,GS-1 TOU,2502.50,1
ACC-2024-001,MTR-55001,"123 Industrial Blvd, Houston TX 77001",02/10/2024,03/13/2024,16200,48.5,Actual,GS-1 TOU,2632.80,1
ACC-2024-001,MTR-55001,"123 Industrial Blvd, Houston TX 77001",03/13/2024,04/11/2024,14800,42.1,Actual,GS-1 TOU,2405.20,1
ACC-2024-001,MTR-55001,"123 Industrial Blvd, Houston TX 77001",04/11/2024,05/12/2024,18900,52.3,Estimated,GS-1 TOU,3071.00,1
ACC-2024-001,MTR-55001,"123 Industrial Blvd, Houston TX 77001",05/12/2024,06/10/2024,22100,61.8,Actual,GS-1 TOU,3590.60,1
ACC-2024-001,MTR-55001,"123 Industrial Blvd, Houston TX 77001",06/10/2024,07/11/2024,25400,68.2,Actual,GS-1 TOU,4125.00,1
ACC-2024-002,MTR-55042,"456 Commerce Park Dr, Houston TX 77002",01/15/2024,02/14/2024,8200,28.5,Actual,GS-2,1312.00,1
ACC-2024-002,MTR-55042,"456 Commerce Park Dr, Houston TX 77002",02/14/2024,03/15/2024,7800,26.2,Actual,GS-2,1248.00,1
ACC-2024-002,MTR-55042,"456 Commerce Park Dr, Houston TX 77002",03/15/2024,04/15/2024,8500,29.1,Actual,GS-2,1360.00,1
ACC-2024-002,MTR-55042,"456 Commerce Park Dr, Houston TX 77002",04/15/2024,05/14/2024,9100,31.5,Actual,GS-2,1456.00,1
ACC-2024-002,MTR-55042,"456 Commerce Park Dr, Houston TX 77002",05/14/2024,06/13/2024,10200,35.8,Actual,GS-2,1632.00,1
ACC-2024-002,MTR-55042,"456 Commerce Park Dr, Houston TX 77002",06/13/2024,07/14/2024,11800,38.2,Actual,GS-2,1888.00,1
ACC-2024-003,MTR-55108,"789 Warehouse Row, Pasadena TX 77501",01/08/2024,02/07/2024,42500,125.0,Actual,LGS-1,5525.00,40
ACC-2024-003,MTR-55108,"789 Warehouse Row, Pasadena TX 77501",02/07/2024,03/08/2024,44200,130.5,Actual,LGS-1,5746.00,40
ACC-2024-003,MTR-55108,"789 Warehouse Row, Pasadena TX 77501",03/08/2024,04/08/2024,41800,118.2,Actual,LGS-1,5434.00,40
ACC-2024-003,MTR-55108,"789 Warehouse Row, Pasadena TX 77501",04/08/2024,05/08/2024,46100,135.0,Actual,LGS-1,5993.00,40
ACC-2024-003,MTR-55108,"789 Warehouse Row, Pasadena TX 77501",05/08/2024,06/07/2024,52300,148.5,Actual,LGS-1,6799.00,40
ACC-2024-003,MTR-55108,"789 Warehouse Row, Pasadena TX 77501",06/07/2024,07/09/2024,58200,162.0,Actual,LGS-1,7566.00,40
